date,state,predicted_sales
2023-06-11,Washington,205769980.0
2023-06-18,Washington,207185800.0
2023-06-25,Washington,206975070.0
2023-07-02,Washington,207678320.0
2023-05-14,West Virginia,78390920.0
2023-05-21,West Virginia,78416830.0
2023-05-28,West Virginia,78514520.0
2023-06-04,West Virginia,78611900.0
2023-06-11,West Virginia,78570720.0
2023-06-18,West Virginia,78703860.0
2023-06-25,West Virginia,78570610.0
2023-07-02,West Virginia,78699360.0
2023-05-14,Wisconsin,167884140.0
2023-05-21,Wisconsin,169138580.0
2023-05-28,Wisconsin,170296880.0
2023-06-04,Wisconsin,170952640.0
2023-06-11,Wisconsin,170930030.0
2023-06-18,Wisconsin,171160350.0
2023-06-25,Wisconsin,172536080.0
2023-07-02,Wisconsin,173841900.0
2023-05-14,Wyoming,23577994.0
2023-05-21,Wyoming,23724520.0
2023-05-28,Wyoming,23447634.0
2023-06-04,Wyoming,23384184.0
2023-06-11,Wyoming,23203542.0
2023-06-18,Wyoming,23465952.0
2023-06-25,Wyoming,23276922.0
2023-07-02,Wyoming,23414612.0
